"","team_id","match_id","team.name","away_team_name","outcome","percentfirsttime","duration_perc","num_crosses","Total_shots","Ratio_of_Shots","numshotassist"
"1",859,3835319,"Austria Women's","Austria Women's","Loss",0.206327372764787,0.453869575,9,9,0.5625,5
"2",865,3835319,"England Women's","Austria Women's","Win",0.201409869083585,0.546130425,16,16,1.77777777777778,10
"3",2457,3835320,"Northern Ireland","Northern Ireland","Loss",0.157728706624606,0.330696246,4,7,0.333333333333333,5
"4",852,3835320,"Norway Women's","Northern Ireland","Win",0.374131480491716,0.669303754,17,21,3,12
"5",863,3835321,"Spain Women's","WNT Finland","Win",0.329625051503914,0.765080855,25,4,0.121212121212121,25
"6",920,3835321,"WNT Finland","WNT Finland","Loss",0.290416263310745,0.234919145,5,33,8.25,2
"7",853,3835322,"Denmark Women's","Denmark Women's","Loss",0,0.377648576,6,6,0.272727272727273,6
"8",857,3835322,"Germany Women's","Denmark Women's","Win",0.153846153846154,0.622351424,14,22,3.66666666666667,12
"9",864,3835323,"Portugal Women's","Switzerland Women's","Tie",0.420609884332282,0.616974692,13,7,0.411764705882353,13
"10",860,3835323,"Switzerland Women's","Switzerland Women's","Tie",0.279329608938547,0.383025308,9,17,2.42857142857143,2
"11",851,3835324,"Netherlands Women's","Sweden Women's","Tie",0.231884057971014,0.47243053,4,10,1,7
"12",858,3835324,"Sweden Women's","Sweden Women's","Tie",0.229357798165138,0.52756947,16,10,1,6
"13",861,3835325,"France Women's","Italy Women's","Win",0.313643491897543,0.562483067,15,16,1.23076923076923,10
"14",855,3835325,"Italy Women's","Italy Women's","Loss",0.206043956043956,0.437516933,10,13,0.8125,7
"15",854,3835326,"Belgium Women's","Iceland Women's","Tie",0.181928441479685,0.556801161,9,10,0.476190476190476,8
"16",862,3835326,"Iceland Women's","Iceland Women's","Tie",0.427655024946543,0.443198839,18,21,2.1,12
"17",865,3835327,"England Women's","Norway Women's","Win",0.654582074521652,0.683857204,20,24,6,12
"18",852,3835327,"Norway Women's","Norway Women's","Loss",0.166389351081531,0.316142796,3,4,0.166666666666667,2
"19",859,3835328,"Austria Women's","Northern Ireland","Win",0.128700128700129,0.604024194,21,18,4.5,10
"20",2457,3835328,"Northern Ireland","Northern Ireland","Loss",0.0784929356357928,0.395975806,3,4,0.222222222222222,3
"21",853,3835329,"Denmark Women's","WNT Finland","Win",0.2465483234714,0.552914587,21,9,0.473684210526316,14
"22",920,3835329,"WNT Finland","WNT Finland","Loss",0.0587889476778366,0.447085413,3,19,2.11111111111111,8
"23",857,3835330,"Germany Women's","Spain Women's","Win",0.0772200772200772,0.245973893,8,13,1.85714285714286,4
"24",863,3835330,"Spain Women's","Spain Women's","Loss",0.169563374311149,0.754026107,16,7,0.538461538461538,13
"25",858,3835331,"Sweden Women's","Switzerland Women's","Win",0.267522739432852,0.552878916,14,16,2.66666666666667,11
"26",860,3835331,"Switzerland Women's","Switzerland Women's","Loss",0.0626959247648903,0.447121084,2,6,0.375,2
"27",851,3835332,"Netherlands Women's","Portugal Women's","Win",0.21505376344086,0.606311159,9,18,1.8,11
"28",864,3835332,"Portugal Women's","Portugal Women's","Loss",0.158353127474268,0.393688841,13,10,0.555555555555556,3
"29",854,3835333,"Belgium Women's","Belgium Women's","Loss",0.063653723742839,0.361702583,6,1,0.0384615384615385,0
"30",861,3835333,"France Women's","Belgium Women's","Win",0.469043151969981,0.638297417,22,26,26,17
"31",862,3835334,"Iceland Women's","Iceland Women's","Tie",0.278810408921933,0.321992902,3,21,2.1,5
"32",855,3835334,"Italy Women's","Iceland Women's","Tie",0.491266375545852,0.678007098,23,10,0.476190476190476,15
